"tahun","nama_provinsi","bulan","jenis_kelamin","jumlah","periode_data"
"2015","PROVINSI DKI JAKARTA","01","Laki-laki","4900","2015"
"2015","PROVINSI DKI JAKARTA","02","Laki-laki","4131","2015"
"2015","PROVINSI DKI JAKARTA","03","Laki-laki","5632","2015"
"2015","PROVINSI DKI JAKARTA","04","Laki-laki","5811","2015"
"2015","PROVINSI DKI JAKARTA","05","Laki-laki","5746","2015"
"2015","PROVINSI DKI JAKARTA","06","Laki-laki","6319","2015"
"2015","PROVINSI DKI JAKARTA","07","Laki-laki","4603","2015"
"2015","PROVINSI DKI JAKARTA","08","Laki-laki","7209","2015"
"2015","PROVINSI DKI JAKARTA","09","Laki-laki","6206","2015"
"2015","PROVINSI DKI JAKARTA","10","Laki-laki","6454","2015"
"2015","PROVINSI DKI JAKARTA","11","Laki-laki","6764","2015"
"2015","PROVINSI DKI JAKARTA","12","Laki-laki","7433","2015"
"2015","PROVINSI DKI JAKARTA","01","Perempuan","4861","2015"
"2015","PROVINSI DKI JAKARTA","02","Perempuan","4122","2015"
"2015","PROVINSI DKI JAKARTA","03","Perempuan","5508","2015"
"2015","PROVINSI DKI JAKARTA","04","Perempuan","5619","2015"
"2015","PROVINSI DKI JAKARTA","05","Perempuan","5570","2015"
"2015","PROVINSI DKI JAKARTA","06","Perempuan","5931","2015"
"2015","PROVINSI DKI JAKARTA","07","Perempuan","4353","2015"
"2015","PROVINSI DKI JAKARTA","08","Perempuan","6989","2015"
"2015","PROVINSI DKI JAKARTA","09","Perempuan","5970","2015"
"2015","PROVINSI DKI JAKARTA","10","Perempuan","5939","2015"
"2015","PROVINSI DKI JAKARTA","11","Perempuan","6611","2015"
"2015","PROVINSI DKI JAKARTA","12","Perempuan","7086","2015"
