"periode_data","tahun","nama_provinsi","nama_kabupaten_kota","jenis_kelamin","jumlah"
"2015","2015","PROVINSI DKI JAKARTA","KAB ADM KEP SERIBU","Laki-laki","129"
"2015","2015","PROVINSI DKI JAKARTA","KAB ADM KEP SERIBU","Perempuan","150"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA PUSAT","Laki-laki","6349"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA PUSAT","Perempuan","7108"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA UTARA","Laki-laki","11909"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA UTARA","Perempuan","12585"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","Laki-laki","14810"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","Perempuan","15998"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA SELATAN","Laki-laki","19766"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA SELATAN","Perempuan","22878"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA TIMUR","Laki-laki","23081"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA TIMUR","Perempuan","25480"
